country_id,island_id,prefecture_id,commune_id,town_village_id,town_village_name,latitude,longitude
KM,KM2,KM27,KM272,KM272_0002,MBACHILE,,
KM,KM2,KM27,KM272,KM272_0003,MOIDZAZA - MBOINI,-11.7747038,43.2462882
KM,KM2,KM27,KM272,KM272_0004,NDROUANI,-11.7671406,43.2523717
KM,KM2,KM27,KM272,KM272_0005,SEREHINI,-11.7589678,43.2436335
KM,KM2,KM22,KM222,KM222_0001,MITSOUDJE,,
KM,KM2,KM22,KM222,KM222_0002,TROUMBENI,,
KM,KM2,KM22,KM222,KM222_0003,CHOUANI,-11.82436430093914,43.29393159374053
KM,KM2,KM22,KM222,KM222_0004,DJOUMOICHONGO,-11.80992950054916,43.29408587633537
KM,KM2,KM22,KM222,KM222_0005,BANGOI,-11.84136164374853,43.29224927484667
KM,KM2,KM22,KM222,KM222_0006,NKOMIONI,,
KM,KM2,KM22,KM222,KM222_0007,SALIMANI,-11.81016976394841,43.2699267089811
KM,KM2,KM22,KM221,KM221_0001,SINGANI,,
KM,KM2,KM22,KM221,KM221_0002,MDJOIEZI,-11.8362673,43.3131564
KM,KM2,KM22,KM221,KM221_0003,HETSA,-11.84836602898079,43.32517067426873
KM,KM2,KM22,KM221,KM221_0004,BAMBANI,-11.8528743007735,43.34243910024343
KM,KM2,KM22,KM221,KM221_0005,DZAHADJOU,-11.8528894,43.3495099
KM,KM2,KM25,KM251,KM251_0001,DEMBENI,,
KM,KM2,KM25,KM251,KM251_0002,MDJAMKAGNOI,-11.88207276688416,43.41318363999644
KM,KM2,KM25,KM251,KM251_0003,MBOUDE YA MBOINI,-11.8668334,43.3958017
KM,KM2,KM25,KM251,KM251_0004,MLIMANI,-11.88927876471597,43.40834860216378
KM,KM2,KM25,KM251,KM251_0005,PANDA,-11.8746048,43.3932323
KM,KM2,KM25,KM251,KM251_0006,MINDRADOU,-11.88443241298675,43.39970470711752
KM,KM2,KM25,KM251,KM251_0007,MANDZISSANI,-11.88702290869847,43.40526156175965
KM,KM2,KM25,KM251,KM251_0008,TSINI MOICHONGO,-11.85904292197132,43.39162049828406
KM,KM2,KM25,KM251,KM251_0009,KANDZILE,-11.85904292197132,43.39162049828406
KM,KM2,KM25,KM251,KM251_0010,MAKORANI,-11.85439443206664,43.3672619256839
KM,KM2,KM25,KM251,KM251_0011,ITSOUDZOU,-11.85964832372679,43.37718929432071
KM,KM2,KM25,KM252,KM252_0001,OUZIOINI,,
KM,KM2,KM25,KM252,KM252_0002,IFOUNDIHE CHADJOU,,
