country_id,country_name,island_id,island_name,prefecture_id,prefecture_name,commune_id,commune_name,town_village_id,town_village_name,year,population,country_name_local,island_name_local,prefecture_name_local,commune_name_local,town_village_name_local
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM125,Ongojou,KM125_0001,ONGODJOU,2017,6306,Comores,NDZUWANI,MREMANI,ONGOJOU,ONGODJOU
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM125,Ongojou,KM125_0005,TRINDRINI,2017,160,Comores,NDZUWANI,MREMANI,ONGOJOU,TRINDRINI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM122,Chaweni,KM122_0002,HAMCHACO,2017,1946,Comores,NDZUWANI,MREMANI,SHAWENI,HAMCHACO
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM122,Chaweni,KM122_0005,MNADZICHOUMWE,2017,1009,Comores,NDZUWANI,MREMANI,SHAWENI,MNADZICHOUMWE
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM122,Chaweni,KM122_0004,NOUNGA,2017,436,Comores,NDZUWANI,MREMANI,SHAWENI,NOUNGA
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM122,Chaweni,KM122_0003,SADAPOINI,2017,2920,Comores,NDZUWANI,MREMANI,SHAWENI,SADAPOINI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM122,Chaweni,KM122_0001,SHAWENI,2017,1082,Comores,NDZUWANI,MREMANI,SHAWENI,SHAWENI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM131,Bandrani Ya Chironkamba,KM131_0002,ANKIBANI,2017,2173,Comores,NDZUWANI,MUTSAMUDU,BANDRANI YA CHIRONKAMBA,ANKIBANI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM131,Bandrani Ya Chironkamba,KM131_0008,BANDRADJOU,2017,1847,Comores,NDZUWANI,MUTSAMUDU,BANDRANI YA CHIRONKAMBA,BANDRADJOU
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM131,Bandrani Ya Chironkamba,KM131_0006,CHICONI 2,2017,137,Comores,NDZUWANI,MUTSAMUDU,BANDRANI YA CHIRONKAMBA,CHICONI 2
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM131,Bandrani Ya Chironkamba,KM131_0003,CHIRONKAMBA,2017,2010,Comores,NDZUWANI,MUTSAMUDU,BANDRANI YA CHIRONKAMBA,CHIRONKAMBA
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM131,Bandrani Ya Chironkamba,KM151_0007,MAWENI,2017,804,Comores,NDZUWANI,MUTSAMUDU,BANDRANI YA CHIRONKAMBA,MAWENI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM131,Bandrani Ya Chironkamba,KM131_0001,MDJIMANDRA,2017,2699,Comores,NDZUWANI,MUTSAMUDU,BANDRANI YA CHIRONKAMBA,MDJIMANDRA
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM131,Bandrani Ya Chironkamba,KM131_0007,MPOUZINI,2017,63,Comores,NDZUWANI,MUTSAMUDU,BANDRANI YA CHIRONKAMBA,MPOUZINI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM132,Bandrani Ya Mtsangani,KM132_0001,BANDRANI MTSANGANI,2017,1922,Comores,NDZUWANI,MUTSAMUDU,Commune BANDRANI YA MITSANGANI,BANDRANI MTSANGANI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM132,Bandrani Ya Mtsangani,KM132_0002,CHITROUNI,2017,1256,Comores,NDZUWANI,MUTSAMUDU,Commune BANDRANI YA MITSANGANI,CHITROUNI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM132,Bandrani Ya Mtsangani,KM132_0004,MDJAMAOUE,2017,1730,Comores,NDZUWANI,MUTSAMUDU,Commune BANDRANI YA MITSANGANI,MDJAMAOUE
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM132,Bandrani Ya Mtsangani,KM132_0003,SAANDANI,2017,2295,Comores,NDZUWANI,MUTSAMUDU,Commune BANDRANI YA MITSANGANI,SAANDANI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM133,Mirontsi,KM133_0001,MIRONTSI,2017,11955,Comores,NDZUWANI,MUTSAMUDU,MIRONTSI,MIRONTSI
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM134,Mutsamudu,KM134_0005,CHICONI1,2017,4,Comores,NDZUWANI,MUTSAMUDU,MUTSAMUDU,CHICONI1
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM134,Mutsamudu,KM134_0001,MUTSAMUDU,2017,26313,Comores,NDZUWANI,MUTSAMUDU,MUTSAMUDU,MUTSAMUDU
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM134,Mutsamudu,KM134_0003,MWAMWA I,2017,1905,Comores,NDZUWANI,MUTSAMUDU,MUTSAMUDU,MWAMWA I
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM134,Mutsamudu,KM134_0004,MWAMWA II,2017,802,Comores,NDZUWANI,MUTSAMUDU,MUTSAMUDU,MWAMWA II
KM,Comores,KM1,Anjouan,KM13,Mutsamudu,KM134,Mutsamudu,KM134_0002,PAJE,2017,5917,Comores,NDZUWANI,MUTSAMUDU,MUTSAMUDU,PAJE
KM,Comores,KM1,Anjouan,KM14,Ouani,KM141,Bambao Mtrouni,KM141_0003,CHANDRA,2017,4963,Comores,NDZUWANI,OUANI,BAMBAO MTROUNI,CHANDRA
KM,Comores,KM1,Anjouan,KM14,Ouani,KM141,Bambao Mtrouni,KM141_0002,DINDRI,2017,10364,Comores,NDZUWANI,OUANI,BAMBAO MTROUNI,DINDRI
KM,Comores,KM1,Anjouan,KM14,Ouani,KM141,Bambao Mtrouni,KM141_0001,TSEMBEHOU,2017,12590,Comores,NDZUWANI,OUANI,BAMBAO MTROUNI,TSEMBEHOU
KM,Comores,KM1,Anjouan,KM14,Ouani,KM142,Bazimini,KM142_0001,BAZIMINI,2017,8218,Comores,NDZUWANI,OUANI,BAZIMINI,BAZIMINI
KM,Comores,KM1,Anjouan,KM14,Ouani,KM142,Bazimini,KM142_0002,KOKI,2017,6366,Comores,NDZUWANI,OUANI,BAZIMINI,KOKI
KM,Comores,KM1,Anjouan,KM14,Ouani,KM142,Bazimini,KM142_0003,PATSY,2017,3884,Comores,NDZUWANI,OUANI,BAZIMINI,PATSY
KM,Comores,KM1,Anjouan,KM14,Ouani,KM143,Ouani,KM143_0003,BARAKANI,2017,7034,Comores,NDZUWANI,OUANI,OUANI,BARAKANI
KM,Comores,KM1,Anjouan,KM14,Ouani,KM143,Ouani,KM143_0004,GNATRANGA,2017,3289,Comores,NDZUWANI,OUANI,OUANI,GNATRANGA
KM,Comores,KM1,Anjouan,KM14,Ouani,KM143,Ouani,KM143_0001,OUANI,2017,10073,Comores,NDZUWANI,OUANI,OUANI,OUANI
KM,Comores,KM1,Anjouan,KM14,Ouani,KM143,Ouani,KM143_0005,TANAMBAO,2017,2105,Comores,NDZUWANI,OUANI,OUANI,TANAMBAO
KM,Comores,KM1,Anjouan,KM15,Sima,KM152,Sima,KM152_0003,BIMBINI,2017,1786,Comores,NDZUWANI,SIMA,SIMA,BIMBINI
KM,Comores,KM1,Anjouan,KM15,Sima,KM152,Sima,KM152_0004,BOUNGOUENI,2017,3534,Comores,NDZUWANI,SIMA,SIMA,BOUNGOUENI
KM,Comores,KM1,Anjouan,KM15,Sima,KM152,Sima,KM152_0002,KAVANI,2017,2172,Comores,NDZUWANI,SIMA,SIMA,KAVANI
KM,Comores,KM1,Anjouan,KM15,Sima,KM152,Sima,KM234_0004,MILEMBENI,2017,727,Comores,NDZUWANI,SIMA,SIMA,MILEMBENI
KM,Comores,KM1,Anjouan,KM15,Sima,KM152,Sima,KM152_0005,MIRONGANI,2017,1459,Comores,NDZUWANI,SIMA,SIMA,MIRONGANI
KM,Comores,KM1,Anjouan,KM15,Sima,KM152,Sima,KM232_0003,SIMA,2017,8737,Comores,NDZUWANI,SIMA,SIMA,SIMA
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0010,BANDRANI YA VOUANI,2017,1685,Comores,NDZUWANI,SIMA,VOUANI,BANDRANI YA VOUANI
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0011,CHIROVE,2017,264,Comores,NDZUWANI,SIMA,VOUANI,CHIROVE
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0009,DAR SALAMA,2017,1344,Comores,NDZUWANI,SIMA,VOUANI,DAR SALAMA
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0007,DZINDRI I,2017,2537,Comores,NDZUWANI,SIMA,VOUANI,DZINDRI I
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0003,HASSIMPAO,2017,1533,Comores,NDZUWANI,SIMA,VOUANI,HASSIMPAO
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0006,IMERE,2017,448,Comores,NDZUWANI,SIMA,VOUANI,IMERE
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0015,IMERE YA GAWANI,2017,742,Comores,NDZUWANI,SIMA,VOUANI,IMERE YA GAWANI
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0002,MARAHARE,2017,1969,Comores,NDZUWANI,SIMA,VOUANI,MARAHARE
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0012,MARONTRONI,2017,407,Comores,NDZUWANI,SIMA,VOUANI,MARONTRONI
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0001,MROMOUHOULI,2017,607,Comores,NDZUWANI,SIMA,VOUANI,MROMOUHOULI
